avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctMarriedHouseholds,BirthRate
15,7,147.5,327.2,56080,2944,10.4,0,"(54545.6, 61494.5]",44.1,41.6,45.6,"Perkins County, Nebraska",2.32,65.5,27.4,31.4,,4,31.1,13.5,64.6,1.7,78.8,59.5,38.9,29.3,10.3,62.42960579,6.593406593
50,23,173.5,409.2,54137,9296,9.5,0,"(51046.4, 54545.6]",42,40.1,44.6,"Phelps County, Nebraska",2.4,60.3,19.2,28.6,,5.1,33,16.9,64.4,1.7,77.2,58.7,47.5,29.5,11.6,57.53755365,2.548476454
41,16,159.5,426.4,53489,7208,10,0,"(51046.4, 54545.6]",41.3,39.8,42.9,"Pierce County, Nebraska",2.4,64.3,9.6,25.6,,9.6,36,15.9,,4.7,80.2,64,48.5,26.9,11.3,59.31972789,9.160305344
159,60,155.1,424.5,61768,32847,8.4,0,"(61494.5, 125635]",38,35.9,39.8,"Platte County, Nebraska",2.53,57.2,19.7,24.3,,12.5,31,13.7,,4.5,78.2,64.6,56.2,23.5,9.9,55.17431337,5.33869116
34,16,187.7,417.6,58162,5202,8,0,"(54545.6, 61494.5]",45.4,44.6,46.3,"Polk County, Nebraska",2.37,61.8,24.7,29.8,,7,32.5,14.7,67.7,1.9,81.9,63.7,47,26.3,8.8,60.07342818,7.071713147
66,29,172.7,428.4,43842,10829,11.7,0,"(42724.4, 45201]",41.8,38.8,43.8,"Red Willow County, Nebraska",2.27,59.4,9.3,40.8,,0.6,36.4,12.9,65.2,4.1,74.9,55.5,43.7,31,12.4,55.04192647,2.843394576
58,29,192.2,444,44282,8094,14.4,0,"(42724.4, 45201]",47,46.1,48.1,"Richardson County, Nebraska",2.14,59.7,11.2,38.5,,5.7,39.7,15.1,60.1,3.4,69.5,50.6,42.5,40.1,19.4,51.82132412,6.961613533
11,4,187.3,502.1,46051,1381,15,0,"(45201, 48021.6]",52,49.8,53.4,"Rock County, Nebraska",1.94,59.4,6,23.3,69.8,0.9,41.7,14.1,64.1,1.7,70.1,50.7,25.6,31.4,11.4,52.60869565,3.361344538
84,31,181.9,529,51805,14282,10.1,0,"(51046.4, 54545.6]",36.6,35.5,37.8,"Saline County, Nebraska",2.61,52,20,18,,7.2,34.7,8.1,63.3,3.4,76.3,60.9,54,25.7,11.6,53.87931034,3.0621435
611,213,169.9,463.5,74008,175692,5.3,108.1437971,"(61494.5, 125635]",33.7,32.7,34.6,"Sarpy County, Nebraska",2.71,59.5,10.5,25,,9.4,22.5,24.2,69.5,4.4,84.4,69.4,54.9,19.7,8.3,59.17428972,7.30321114
111,47,176.2,428.6,61961,21016,8.2,333.0795584,"(61494.5, 125635]",41.4,40.6,42.4,"Saunders County, Nebraska",2.56,60.4,10.8,29,42.2,18,33,16.1,65.4,3.5,80.2,62.5,50.7,28.5,11.5,59.45375543,6.021555764
195,78,160.2,419.7,47194,36261,15.6,386.0897383,"(45201, 48021.6]",38.8,37.7,39.5,"Scotts Bluff County, Nebraska",2.42,51.8,14.4,30.6,,3.8,30,14.5,63.3,5.5,63.3,50,41.5,34.4,19.7,48.13283633,6.311958841
2812,1119,190.8,472.2,48195,678889,19.9,849.9180278,"(48021.6, 51046.4]",34.2,33.5,34.9,"Davidson County, Tennessee",2.41,40.5,10.8,27.5,,17,24.1,23.6,64.5,7.2,64.3,54.1,46.5,29.1,18.5,37.31146697,5.788303646
74,38,212.3,431.5,37417,11660,19.9,0,"(37413.8, 40362.7]",45.3,44.2,46.1,"Decatur County, Tennessee",2.3,56.1,15,38.9,,4.7,44.6,7.5,48.1,10.1,58.4,42.8,35.7,44.3,23.9,50.74327039,4.422498927
99,48,202.8,422.5,38595,19182,20.1,0,"(37413.8, 40362.7]",41,39.4,43.4,"DeKalb County, Tennessee",2.7,50.1,9.2,49.6,,1.6,43.2,9.3,48.3,7.6,56.9,43,38.7,40.7,23.4,51.71965318,6.303030303
273,110,199.1,497.9,45914,51487,14.3,58.26713539,"(45201, 48021.6]",39.9,38.5,40.9,"Dickson County, Tennessee",2.69,52.5,14.8,51.3,,2.2,43.7,9.3,54.7,7.5,64.4,50.8,44.5,35,20.2,54.88790688,4.968421053
183,84,185.6,408,43425,37893,19.6,0,"(42724.4, 45201]",40.3,39.2,42,"Dyer County, Tennessee",2.51,51.7,17.3,37.3,,3.4,40.2,11.6,54.1,6.6,63.9,50.4,46.1,37.6,21.9,50.38510482,6.483677849
227,85,174.7,471.4,56573,39165,14.7,0,"(54545.6, 61494.5]",43.7,42.7,44.8,"Fayette County, Tennessee",2.58,56.4,14.8,36.9,42.6,5.7,35.8,15.9,54.1,8.5,71.8,55.6,45.8,32.9,15.6,58.14360771,5.28264626
116,55,230.9,496.6,30299,17917,28.1,0,"[22640, 34218.1]",44.2,42.7,45.2,"Fentress County, Tennessee",2.43,53,10.9,51.8,,5.3,44.2,7,41.6,10.4,45.2,,24.2,53.2,33,51.01314348,5.124835742
246,101,180.5,465.4,43851,41449,16.5,0,"(42724.4, 45201]",41.5,39.7,42.5,"Franklin County, Tennessee",2.4,52.7,7.2,35.7,,2.1,37,11.6,50.8,9.5,65.3,48.6,40.6,39.7,20.9,52.9812293,5.292111343
285,138,214.7,460.4,37498,49399,19.5,0,"(37413.8, 40362.7]",40.4,39.1,41.3,"Gibson County, Tennessee",2.49,50.2,10.9,43.8,42.1,3.2,38.4,10.3,52,9.5,62.5,47.1,39.8,38.6,22.3,48.65545786,4.845775592
178,78,199.9,469.4,41326,28946,16.9,0,"(40362.7, 42724.4]",42.9,41.5,44,"Giles County, Tennessee",2.49,52.4,12.5,36.2,,6.4,42.3,9.7,50.6,9.9,64.4,46.8,40.8,37.9,20.1,51.85447464,4.447587616
143,60,211,496,35704,22846,21.9,0,"(34218.1, 37413.8]",43.6,42.4,45,"Grainger County, Tennessee",2.52,57.9,7.7,54,,3.3,45.3,7.6,48.2,9.5,59.8,,39.4,41.8,23.8,57.94235925,3.497356649
428,183,194.7,469.7,36740,68580,17.7,0,"(34218.1, 37413.8]",43.7,42.2,44.9,"Greene County, Tennessee",2.38,53,9.2,50.2,33.7,6.8,42.6,9.8,49.8,8.7,59.4,42.3,37.3,42.5,22,51.19917323,3.90120498
82,40,218.9,460.3,28086,13441,26.1,0,"[22640, 34218.1]",42.6,41.4,44.4,"Grundy County, Tennessee",2.55,48.4,17.7,56.5,,4.5,42,6.7,41.6,10.2,40.8,28.9,25.5,51,33.2,46.88756943,5.094207955
373,156,197.9,489.4,37410,63402,23.4,0,"(34218.1, 37413.8]",39.9,39,41.5,"Hamblen County, Tennessee",2.54,51.3,14.6,48.9,,7.2,42.1,10,50.2,10.1,55.2,39.7,34.6,42.3,24.6,49.59542297,5.325701036
1885,713,172.9,470.9,48380,354098,15.9,553.5190823,"(48021.6, 51046.4]",39.3,37.8,40.9,"Hamilton County, Tennessee",0.0248,48,13.1,27,51.6,8.4,27.3,18.2,57.7,8,68.3,53.9,46.5,32.9,17.5,47.00812066,5.342350159
44,21,230.9,483.5,27323,6572,29.5,0,"[22640, 34218.1]",44.2,43.4,45,"Hancock County, Tennessee",2.35,51.7,5.7,58.9,,0,39.4,7.3,41.5,12.1,48.1,37.3,34.1,49.4,31.1,47.56717502,8.014184397
154,68,213.7,480.3,35321,25707,25.3,350.0991948,"(34218.1, 37413.8]",39.8,37.6,42.8,"Hardeman County, Tennessee",2.59,41.1,29.4,43.5,,3.3,44.4,5.7,38.3,18.7,53.5,,35.5,45.3,28.9,44.23715234,4.627249357
162,70,185.9,456.8,36285,25756,21.7,0,"(34218.1, 37413.8]",44.8,43.7,45.9,"Hardin County, Tennessee",2.58,51.2,23.9,37.2,37.7,1.2,43.6,7.6,44.5,13.9,53.6,38.6,30.1,45,25.8,52.91257218,4.906586148
365,157,211.8,500.6,39506,56471,19.6,0,"(37413.8, 40362.7]",43.4,42.3,44.5,"Hawkins County, Tennessee",2.42,52.7,12.6,46.8,,5.8,44.2,8.8,47.6,10,61.2,44.3,40,42.4,23.8,50.25251435,4.203166439
99,41,183.7,457.4,35470,18023,24.7,0,"(34218.1, 37413.8]",39.9,37.3,41.4,"Haywood County, Tennessee",2.57,43,24.2,50.6,,1.9,42.1,7.2,49.8,10.5,56.1,,35.5,43.5,26.4,42.75114155,4.488542405
155,69,204.5,467.1,39303,28015,19.1,0,"(37413.8, 40362.7]",40.7,39.1,41.6,"Henderson County, Tennessee",2.57,51.5,12.5,40,40.3,7.2,39.8,8.4,50.2,9.4,59.8,,39,40.6,25.5,50.04163197,4.405016825
223,105,219.1,479.3,37151,32147,20.5,0,"(34218.1, 37413.8]",44.9,43.7,46,"Henry County, Tennessee",2.36,55.2,14.8,54.4,24.4,6.4,45.1,8.5,48.3,9.7,59.8,40.9,32.6,44.2,24,51.26568184,4.382650748
143,61,213.5,509.6,37443,24363,20.2,0,"(37413.8, 40362.7]",40.7,39.5,42.1,"Hickman County, Tennessee",2.6,49.1,21.4,50.1,,1.3,43.3,6.6,48,8.6,53.7,,35.3,41.1,25.7,52.0583875,6.558627264
50,25,219,457,39753,8149,19.1,122.7144435,"(37413.8, 40362.7]",43.2,41.3,43.8,"Houston County, Tennessee",2.49,56.7,19.3,36.5,,4.2,46.3,8.4,45.6,8.1,59,43,35.3,43.4,25,54.88142901,3.771361226
127,55,222.6,527.3,42837,18135,17.6,716.8458781,"(42724.4, 45201]",42.2,41.3,42.8,"Humphreys County, Tennessee",2.53,54.8,14.1,41.3,43.4,1.2,42.8,8.9,48.1,8.9,66.9,49,42.9,37.8,17.8,54.126895,5.078225186
71,32,196.5,449.1,35379,11509,23.4,0,"(34218.1, 37413.8]",45.8,44.9,46.5,"Jackson County, Tennessee",2.49,50.8,5.8,57.3,,3.9,47.7,5.1,40.2,14.5,48.3,33.2,27.6,52.2,32.2,50.34208784,3.981937603
310,124,185.3,484,41235,53240,17.8,0,"(40362.7, 42724.4]",42.3,41.1,44.2,"Jefferson County, Tennessee",2.58,53.4,5.8,36.7,,6.8,39.5,9.6,53.6,9.1,63.7,48.6,42.2,37.8,21.1,55.6176635,4.075765263
102,52,211.3,414.7,31330,17830,26.4,0,"[22640, 34218.1]",44.5,43,47.5,"Johnson County, Tennessee",2.29,53.3,15.8,46.9,,2.4,40.9,6.1,39.9,9,56.6,37.4,31.4,48.7,26.1,55.01498074,5.253623188
2294,871,181.6,484.4,47199,451324,17.7,276.9628914,"(45201, 48021.6]",37.3,35.9,38.7,"Knox County, Tennessee",2.39,49,9.5,27.4,,12.1,26.5,21,59.9,6.5,71.1,58,51,29.4,16.4,46.71082117,4.759828048
36,22,247.6,413.7,28524,7576,41.9,0,"[22640, 34218.1]",40.3,38.8,45,"Lake County, Tennessee",2.38,32.9,30.4,51,,5,44.6,5.9,27.9,10.1,45.4,32.5,27,52.1,36.7,43.73804971,4.662698413
141,63,218.3,484.4,33595,26936,24.8,0,"[22640, 34218.1]",37.1,35.2,39.3,"Lauderdale County, Tennessee",2.5,41,24.2,54.3,,3.6,44.5,5.8,41.8,13.4,50.8,38,33.6,45.2,29.6,41.51020408,5.484147386
224,99,187.3,438.8,34614,42564,21.8,0,"(34218.1, 37413.8]",39.9,38.7,41.4,"Lawrence County, Tennessee",2.59,55.2,16.9,39.2,,4.6,42.2,7.8,50.7,10.8,58.8,44.2,37.5,37.1,20.7,54.03626428,7.666385847
82,34,217.1,538.7,36255,11854,20.3,0,"(34218.1, 37413.8]",43.5,41,46.2,"Lewis County, Tennessee",2.49,57.3,10,63.6,26.4,0,43.2,8.4,50.8,7.7,57.8,43.2,34.3,40.9,23.6,54.15959253,4.558176729
183,85,193,421.9,41802,33743,16.5,0,"(40362.7, 42724.4]",42.9,41,44.5,"Lincoln County, Tennessee",2.43,51.9,21.9,39,36,3.1,41.9,11.3,53,7.6,63.6,46.3,38.9,40,20.8,49.4429786,6.664803689
344,132,170.6,467.4,53945,51130,13.6,0,"(51046.4, 54545.6]",46.5,45.4,47.4,"Loudon County, Tennessee",2.49,61.4,13.8,54.3,,5.6,34.2,15.7,48.1,8.9,65.1,46,39.9,40.7,21.4,61.11249938,4.243210863
304,137,195.9,447.5,39528,52639,17.4,0,"(37413.8, 40362.7]",42.7,42.2,43.1,"McMinn County, Tennessee",2.58,52.1,14.1,45.6,,4.7,42.7,9.8,48.9,9.3,62.5,45,40,39.6,21.5,53.20852938,4.451140766
148,74,210.7,433.7,34882,26066,23.5,0,"(34218.1, 37413.8]",42.6,41.1,44.1,"McNairy County, Tennessee",2.61,53,12,45.7,,4.5,44.2,7.8,42.7,14.9,54,,33.3,45.8,27.4,51.1041329,3.799063738
135,55,211.2,531.4,36886,23177,19.3,43.14622255,"(34218.1, 37413.8]",39.6,38.8,40.5,"Macon County, Tennessee",2.53,56.5,16.3,44.1,,3.2,43.9,5.4,53.5,7.4,60,45.3,38.6,38.6,22.3,54.11020777,4.994346023
468,193,176.3,434,43113,97610,20.9,133.1830755,"(42724.4, 45201]",37.6,36.4,39,"Madison County, Tennessee",2.56,45.8,10.2,30,53.7,6.1,32.9,17,55.2,8.4,62.7,,42.8,37.2,22.6,46.36348801,5.831783426
187,80,220.2,521.2,40766,28487,20.6,0,"(40362.7, 42724.4]",43.1,41.6,44.6,"Marion County, Tennessee",2.43,53.9,17.6,41.8,,6.6,37.2,9.2,51.7,6.7,61.7,47.5,42.5,38.5,20.9,52.13882863,2.19816273
168,76,216.9,490.5,42839,31552,15.5,0,"(42724.4, 45201]",39.4,38.7,40.5,"Marshall County, Tennessee",2.57,53.2,10.8,43.9,,4.5,42,10.4,55.4,8.4,65,50.4,44.5,34.1,18.3,52.44819519,3.440273038
411,172,187.4,450.4,51303,87757,15.5,22.79020477,"(51046.4, 54545.6]",38.6,37.4,40.2,"Maury County, Tennessee",2.55,50.8,14.2,38.5,,6.1,36.6,13.2,58.9,7.7,65.4,51.1,44.6,35.3,20.6,50.00462036,5.317306713
71,35,229.6,461.4,34801,11830,20.8,0,"(34218.1, 37413.8]",44.3,43.6,44.8,"Meigs County, Tennessee",2.51,55.7,14.8,63.8,,3.1,42.7,4.6,40.9,15,57,,37.4,42.7,23.7,54.91341991,5.090180361
276,119,207,482.9,37392,45771,20.6,21.84789496,"(34218.1, 37413.8]",43,41.6,44.2,"Monroe County, Tennessee",2.6,60.4,17.9,53.3,23.7,5.1,42,8,44.1,12.5,58.9,41.7,36.3,42.4,23.7,59.51840865,6.564217382
592,241,195.4,446.6,50935,193479,13.9,0,"(48021.6, 51046.4]",30.3,29.5,31.1,"Montgomery County, Tennessee",2.76,54.2,7.7,37,,8.7,30.8,16.6,52.1,9.7,72.1,54.5,28.7,29,14.9,53.62200682,6.724977636
36,13,137.3,408.9,50358,6322,12.5,0,"(48021.6, 51046.4]",45.5,44.8,46.1,"Moore County, Tennessee",2.55,57.4,18.8,41.3,,6.7,40.2,12.2,57.9,6.5,74.6,,45.7,32.5,12.5,60.35044825,0.702028081
126,48,191.1,488.7,36390,21498,23.4,0,"(34218.1, 37413.8]",40.8,38.4,43.5,"Morgan County, Tennessee",2.52,51.7,18.2,50.6,,2.9,51.3,4,38.2,8.5,60.4,44.4,39.2,43.7,24.3,57.421981,3.724928367
189,91,215.6,455.6,40683,30639,20.8,0,"(40362.7, 42724.4]",42.1,41.2,42.9,"Obion County, Tennessee",2.42,52.1,15.7,48.7,33.1,2.5,41.3,10.3,50.3,11.2,61,43.7,37.7,40.5,21.6,50.49348599,4.063986165
137,66,220.1,470.1,35884,22129,18.9,0,"(34218.1, 37413.8]",42.2,41.3,43.3,"Overton County, Tennessee",2.45,61.3,14.3,44.7,,3.8,43.7,8.2,47.8,7.7,59.9,,36.8,41.7,24.1,59.12515462,3.83125269
52,22,198.4,492.4,33776,7929,23.6,0,"[22640, 34218.1]",43.7,41.6,45,"Perry County, Tennessee",2.4,52.3,10.6,62.4,,6.7,41.4,8,44.5,9.5,52.7,38.4,31.7,41.3,23.9,49.0700558,9.322033898
38,14,160,483.4,31996,5146,19.2,0,"[22640, 34218.1]",49.4,47.7,50.4,"Pickett County, Tennessee",2.25,66.7,7.5,62.7,,0,38.4,4.8,50.6,4.9,60.2,40.5,31.2,44.1,21.8,63.15789474,8.686210641
108,56,244,480.2,36643,16773,20.3,0,"(34218.1, 37413.8]",44,43.1,45,"Polk County, Tennessee",2.44,56.9,12.6,44.6,,4.8,43.3,6.1,46.9,10.9,60.2,44.4,38.2,41.6,24,54.92957746,1.62069946
362,159,189.2,442.4,37693,74553,20.8,134.1327646,"(37413.8, 40362.7]",36.1,33.8,38.5,"Putnam County, Tennessee",2.38,48.3,6.9,32.7,,6.3,37.8,15.4,50.5,8.4,61,48,41.4,36.1,21.1,46.05161334,3.640481715
206,77,193.5,532.5,37952,32526,22,0,"(37413.8, 40362.7]",40.5,40,41.1,"Rhea County, Tennessee",2.51,50.9,16.1,39.5,,4.2,38.1,7.8,48.6,11.1,58.6,,35.9,45.3,25.6,49.14308489,6.638495093
379,159,198.7,492.7,43269,52753,18,0,"(42724.4, 45201]",46.1,45.3,47,"Roane County, Tennessee",2.4,54.7,25.1,34.5,,4.5,36.6,11.3,46.9,9.8,63.7,,38.8,42,21.9,52.77562023,3.126436782
343,128,187.2,496.6,52640,68570,13.4,14.58363716,"(51046.4, 54545.6]",38.6,37.4,39.3,"Robertson County, Tennessee",2.7,57,13.6,45.4,31.8,9.3,38.4,11.8,60.2,8.4,69.5,56.5,48.7,29.8,17,57.6884055,5.976467659
970,365,177.6,450.4,53799,298612,14.7,26.79061793,"(51046.4, 54545.6]",32.9,31.9,33.8,"Rutherford County, Tennessee",2.76,51,8.1,32,,9.2,29.6,21.4,65,6.8,72.9,61.9,54.4,23.5,13.7,53.0572913,4.947730667
134,63,255.9,535.4,31397,21950,24.5,0,"[22640, 34218.1]",38.6,37.8,39.5,"Scott County, Tennessee",2.61,50.2,12.6,56,,3.2,47.6,4.6,45,14.1,48.7,38.4,31.8,45.7,30.3,49.54868215,5.677867903
81,40,227.4,465.4,44111,14811,18.7,0,"(42724.4, 45201]",41.9,41.6,42.7,"Sequatchie County, Tennessee",2.56,56.2,12.9,41.1,42.3,3.7,40.2,7.6,48.8,9,61.9,47.6,40.3,40.4,22.1,54.94211932,3.240589198
549,210,185.2,493.9,39905,95946,17.7,10.42252934,"(37413.8, 40362.7]",42.2,40.8,43.7,"Sevier County, Tennessee",2.52,54.1,15.9,40.2,,8.5,37.5,10.4,,7.4,56.5,42.4,35.2,36.9,21.2,52.99180216,6.406013616
4118,1757,202.7,461.5,44015,938069,23,393.3612559,"(42724.4, 45201]",34.9,33.2,36.6,"Shelby County, Tennessee",2.65,38.7,15.9,33.9,,9.1,27.1,18.9,58.7,10.3,61.3,49.9,44.6,33.4,21.2,37.74393475,6.405574323
106,48,225.1,486.5,43659,19295,15,0,"(42724.4, 45201]",41.6,40.6,42.7,"Smith County, Tennessee",2.53,59.1,13.8,43.9,,3.8,48,6.2,53.9,5.2,64.4,50.9,44.4,36.5,22.4,57.31479005,3.646563815
88,39,230.1,514.7,41590,13259,17.5,301.6818765,"(40362.7, 42724.4]",43.2,42.9,44,"Stewart County, Tennessee",2.57,57.4,10.5,47.3,39.2,3,42,8.1,45,10.1,66,43.9,34,40.2,18.9,57.02592087,2.998236332
1019,423,187.2,472.8,38840,156791,18.5,344.4075234,"(37413.8, 40362.7]",44.3,43.2,45.6,"Sullivan County, Tennessee",2.32,53.9,13,38,,6.5,34.8,13.6,51.3,8.2,64.3,46.3,41.1,40.2,20.3,50.28831243,4.794040316
828,285,162.5,470.6,58291,175989,11.3,102.2791197,"(54545.6, 61494.5]",39.4,38.3,40.4,"Sumner County, Tennessee",2.7,55.6,14,35.1,,9,32.8,16.5,61.9,6,70.2,57.6,49.4,30,17.5,56.95154185,5.056955471
298,123,208.4,484.6,52339,61870,15.4,32.32584451,"(51046.4, 54545.6]",37,36,38.1,"Tipton County, Tennessee",2.82,51.9,14.8,44.9,,3.7,39,9.6,57,10.6,67.8,53,46.5,32,18.9,54.51216686,6.760732914
42,19,217,462.6,40251,8042,17.5,0,"(37413.8, 40362.7]",40.2,37.4,42.4,"Trousdale County, Tennessee",2.65,49.2,27.6,46.8,,7,42.8,6.6,54,10.5,60.3,49.3,36.7,35.5,23.6,52.050581,9.777777778
117,56,196.1,444.8,37632,17860,20.1,0,"(37413.8, 40362.7]",45.7,44.5,47.4,"Unicoi County, Tennessee",2.36,52.8,8.5,35.6,,2.2,41.6,7.5,,13.7,57.8,37.3,32.5,46.9,24.4,50.29617663,6.395035078
117,49,221.3,526.2,37453,19119,22.6,0,"(37413.8, 40362.7]",41,40.5,41.9,"Union County, Tennessee",2.59,55.8,11.1,49.3,,4.4,44.2,6,44.4,9.5,54.1,40.6,35.2,44.9,27.9,54.80690222,3.464419476
36,14,174.1,468.4,34884,5677,20.6,0,"(34218.1, 37413.8]",45.8,45.1,47.4,"Van Buren County, Tennessee",2.61,51.8,10.4,52.5,,3.3,50.1,7.5,47.8,11.2,57.9,,36,41.1,24.1,56.03038936,4.545454545
215,102,209.6,453.3,36942,40435,19,0,"(34218.1, 37413.8]",39.7,38.7,40.4,"Warren County, Tennessee",2.51,50.2,16.8,47.8,,4.7,42.5,8,51.7,8,55,40.7,34.2,43.9,27,47.4107656,6.99356005
663,267,176.7,451.1,43212,126302,16.7,47.50518598,"(42724.4, 45201]",39.8,39.5,40.1,"Washington County, Tennessee",2.29,50.8,7.4,29.7,,12.1,30.7,18,55.5,6.2,68,52.8,46.2,33.9,17,47.87605912,4.081698817
93,44,201.4,434.8,33573,16748,23.3,0,"[22640, 34218.1]",42.2,40.2,45.9,"Wayne County, Tennessee",2.48,49.9,17.5,51.1,29.5,1.8,43.6,5.6,40.2,12.2,54.7,,32.6,43.5,27,55.28741411,6.408629442
182,87,205.4,443.1,36205,33960,21.5,0,"(34218.1, 37413.8]",36.9,35.1,39.4,"Weakley County, Tennessee",2.32,49,3.9,21.6,,5.1,39.8,13.6,50.5,11.2,69.2,51.7,44.1,35,17.8,49.54671736,5.005740528
158,72,203.7,459.9,35400,26521,21.9,0,"(34218.1, 37413.8]",42.5,40.9,43.7,"White County, Tennessee",2.65,53.9,12.8,52.4,,1.5,45.3,7.5,,10.5,58.8,42.9,37.7,42.2,23.8,55.07142123,5.225066196
788,232,139,443.4,97936,211672,5.6,118.1072603,"(61494.5, 125635]",38.9,37.9,39.6,"Williamson County, Tennessee",2.86,66,16.2,30.4,,18.8,16.4,35.8,65.5,4.2,86.6,75.7,64,16.5,7.4,69.98906129,4.474464442
573,219,179.2,463.3,60955,128911,10.1,23.27186974,"(54545.6, 61494.5]",40.1,39.1,40.9,"Wilson County, Tennessee",2.72,56.6,13.6,40.3,,7.1,32.1,19.9,61.5,6.5,74,61.1,51.9,26.8,14.5,58.3677686,4.280356467
248,156,245.2,394.3,42471,57580,20.4,0,"(40362.7, 42724.4]",38.9,38.2,41.3,"Anderson County, Texas",2.68,44.5,24.2,51.2,,2,36.9,7.5,41.4,4.3,59.7,46.5,41.6,34.1,19,52.91270837,7.105682422
57,25,182.2,401.3,66878,18105,10.7,0,"(61494.5, 125635]",31.3,30.3,33.9,"Andrews County, Texas",3.05,58.1,21.2,46.7,28.8,3.4,33.6,8.8,64.8,3.9,63.3,53.5,48.6,23.4,14.6,62.7100073,10.78180889
474,163,168.3,499.2,42128,88255,17.9,11.33080279,"(40362.7, 42724.4]",36.4,35.6,37.5,"Angelina County, Texas",2.77,50,14.5,33.8,,4.8,31.6,10.1,54.2,9.1,54.4,41.4,35.7,37.6,22.2,51.11663342,5.728131815
165,76,194.6,433.4,44551,25350,17.5,0,"(42724.4, 45201]",49,48.3,50.1,"Aransas County, Texas",2.46,55,23.3,38.4,,3.7,30.9,12.5,46.7,6.8,54.3,37.2,28.5,42.4,22.9,55.79425738,8.072153326
33,16,138.8,289.2,58867,8715,9.4,0,"(54545.6, 61494.5]",44.1,43.1,45,"Archer County, Texas",2.6,62,19,38.8,,6.6,36.5,16.6,59.7,3,72.3,,49.2,28.2,12.5,65.25373134,3.583061889
12,6,213.4,435.7,55177,1947,11,0,"(54545.6, 61494.5]",45.1,43.4,47.5,"Armstrong County, Texas",2.63,61.1,8.3,57.7,,10.7,24.3,16.1,59.6,1.1,75.7,,48.3,28,11.7,67.92717087,2.949061662
186,81,169.1,387.6,52785,48435,16.9,454.2169918,"(51046.4, 54545.6]",35.5,34.5,36.6,"Atascosa County, Texas",3.04,52.1,19.4,36.3,39.3,5,36,9.3,56.9,6.5,57.7,46.3,39,32.6,20.5,53.23829981,5.556068297
140,58,160.1,398.2,58792,29563,11.2,0,"(54545.6, 61494.5]",40.6,40.2,41.2,"Austin County, Texas",2.59,59.6,17.1,49.5,,4.7,30.3,14.4,59.6,6.2,67.3,52.2,45.6,28.4,14.2,58.69722776,4.630829016
26,9,110.4,334.4,36821,7210,19.9,0,"(34218.1, 37413.8]",34.9,35.6,34.6,"Bailey County, Texas",2.92,57.9,48.9,43.9,7.1,0,32.4,4.6,62.6,4.3,45.2,34.7,31.7,34.5,21.6,58.23578595,2.595628415
122,45,140,388.9,50107,21269,13.5,0,"(48021.6, 51046.4]",51.5,51.7,51.4,"Bandera County, Texas",2.45,57.5,21.8,48.5,,1.6,29.2,15.4,51.4,4.8,63,,32.8,37.3,15.3,56.63289918,6.419479801
326,140,181.8,415.6,52886,80527,14.7,0,"(51046.4, 54545.6]",38.7,38.3,39.2,"Bastrop County, Texas",2.94,52.8,25.3,36.2,,3.3,30.4,12,54.6,9.8,62,47.5,41.9,31.1,16.2,55.77512375,4.583083383
27,13,212.3,458.2,36027,3618,18.3,0,"(34218.1, 37413.8]",48.5,46.4,50,"Baylor County, Texas",2.06,56.5,34.1,42.9,,0,31.7,19.6,,1.4,64.2,44.2,31,32.9,13.3,48.63609983,6.068601583
102,45,151.6,341,40680,32874,24.9,0,"(40362.7, 42724.4]",35.3,34.9,36.3,"Bee County, Texas",2.85,39.9,25.6,40.9,,0.5,33.1,6.3,39.3,7,52.1,39.5,35.3,35.8,23.1,47.26089934,8.618283322
1184,430,177.3,475.2,51048,334941,14.2,8.956801347,"(51046.4, 54545.6]",30.2,29,31.2,"Bell County, Texas",2.89,52.8,10.7,38.6,44.7,6,28.2,15.2,52.5,9.5,70.2,46,30.1,29.3,13.7,52.53632424,5.835105126
6298,2451,157.2,399.2,50699,1897753,18.3,286.6547965,"(48021.6, 51046.4]",33.1,31.8,34.5,"Bexar County, Texas",2.9,45,15.6,31.6,45.3,7.5,25.2,17.1,59,7.4,61.1,,39.8,30.8,18.3,45.72944794,5.991129949
53,24,154,372.8,57177,11004,12,0,"(54545.6, 61494.5]",48.6,47.8,49.2,"Blanco County, Texas",2.55,61.9,13.1,22.6,48.8,15.5,30.7,19.7,52.4,6.4,64.8,46.2,37,32.7,12.7,60.61479347,3.865213082
107,55,190.7,393.2,44397,17891,15,0,"(42724.4, 45201]",46,45.3,46.7,"Bosque County, Texas",2.52,57.8,16.3,37.7,,4,34.7,11.5,49.5,7.9,59.9,,35,36.3,16.9,57.03671953,3.008595989
455,200,184.8,427.6,41883,93389,20.1,0,"(40362.7, 42724.4]",37.7,36,39.6,"Bowie County, Texas",2.63,46.6,17.3,40.9,,3.2,36,11.9,49,8.5,59.7,,40.3,36.1,19.6,47.41046585,7.433542774
